"Fecha","Hora","05FZA-115","04FMA-115","05AEP-115","06PRY-115","02SNS-115","03SLD-230","08PPO-115","03ING-69","06LBR-115","02LAV-400","02CJT-115","03IMP-115","03CNS-69","03RIG-115","05DGN-115","06RIB-138","04DYN-115","05SFB-115","04ORI-115","03AYL-115","03GKN-115","01PXA-85","05LGS-115","04EFR-230","02CIV-115","06MON-230","02ADD-115","01XOC-230","01TQC-115","08LAC-115","06MTN-115","05AMN-115","03GUD-69","06OVO-115","01TYA-230","03HYL-69","05LEX-115","02MDB-230","02MTL-115","03MIL-69","04TSR-115","06CYC-115","06MMD-230","02TPS-115","03COC-69","04CBA-115","03VYQ-115","05FXD-115","02RNA-115","03SPL-115","03NKA-69","04CUN-115","06MIG-138","04COC-115","03ZID-115","08SLC-230","01JDV-85","02ECM-115","03APZ-115","04LCH-115","05ISD-115","02MHT-115","06CMN-115","03UPT-115","05ALT-115","02TTP-115","06TMO-115","02CNJ-115","06CDT-115","02LMX-115","01AUR-230","01ATE-85","06PBS-115","03SEI-115","04CUS-115","01CTT-85","02KIM-115","02OWC-115","08CBU-115","06AUA-138","01NAU-85","05ARM-115","01ECA-230","01IXL-230","05CEJ-115","08NIZ-115","03ZLT-69","01ATU-115","05TBL-115","03TSM-115","05OAS-115","04SBK-115","05VEZ-115","06REY-138","03VAR-115","03MXT-115","02LRZ-115","04CUT-115","02MRO-115","05LEO-115","03LAS-115","03DEO-115","02PUE-115","06ALM-115","05DGD-115","01AVT-85","06POL-115","04GSV-115","08CAS-115","05SGP-115","02MID-400","06CYN-115","03LRE-115","03ABL-115","02HCO-115","03PUU-69","01TDK-230","02RBO-115","06LDC-115","06CIM-138"
"2023-12-01","11",634.84,66.1,380.2,589.19,1203.06,700.06,1188.88,973.04,490.1,1152.33,1241.96,908.16,831.65,795.7,637.97,565.73,60.61,490.27,17.7,836.23,865.86,1094.79,634.42,10.22,1120.48,595.11,1177.99,1100.84,1068,1243.34,589.31,703.68,824.31,500.85,1096.88,832.28,384.57,1112.5,1192.92,840.78,190.84,619.44,364.2,1165.41,831.01,13.08,931.62,382.06,1180.31,825.27,825.12,191.39,598.07,109.51,881.11,1165.39,1093.77,1163.09,916.03,17.07,459.85,1224.33,592.58,902.48,462.88,1193.43,419.02,1239.15,576.26,1207.59,1099.93,1102.05,584,715.49,192.41,1094.6,1160.44,1133.48,1222.94,604.07,1094.9,478.7,1095.38,1101.74,362.53,1232.8,825.43,1068.55,460.79,910.55,505.41,66.08,432.09,575.75,725.44,833.13,1132.81,190.75,1187.45,473.02,772.43,911.73,1299.23,613.71,665.36,1102.02,405.38,171.79,1210.32,740.26,1175.12,589.6,826.75,878.07,1247.87,972.74,1101.61,1165.18,395.82,566.83
"2023-12-01","12",604.31,79.11,379.29,530.26,1382.72,688.6,1669.3,1052.98,350.17,1523.73,1719.77,981.06,877.94,814.94,605.34,506.91,73.39,497.22,17.6,888.71,925.54,1243.66,601.49,17.85,1381.18,538.11,1650.39,1267.62,1228.17,1722.32,519.44,698.28,870.58,391.32,1268.58,879.43,384.05,46.88,1467.99,887.73,213.15,572.7,170.13,1622.41,878.25,15.04,1011.85,381.31,945.68,865.94,869.67,213.76,540.34,125.9,946.3,1639.03,1234.55,1643.65,989.69,17.07,465.35,1690.62,534.08,974.56,468.4,1745.84,246.82,1695.51,508.88,1682.19,1244.08,1286.63,521.79,710.11,214.77,1236.11,1643.02,11150.51,1702.57,547.19,1244.38,487.29,1207.58,1261.06,360.42,1714.88,871.01,1225.92,466.33,990.57,515.39,79.08,434.35,516.41,710.94,868.43,1933.28,213.03,1656.47,479.09,783.81,992.48,1728.28,564.3,656.14,1286.47,234.58,193.16,1688.45,738.88,1647.54,528.89,873.1,944.25,1703.73,1051.63,1278.14,1643.5,228.4,507.25
"2023-12-01","13",690.75,46.38,391.72,635.76,1440.01,777.66,1427.75,1118.86,497.19,1372.63,1475.36,1042.59,944.4,892.05,695.49,610.41,43.59,505.32,29.29,951.41,987.28,1287.69,690.95,-12.01,1312.38,643.79,1399.86,1295.92,1250.62,1482.77,631.17,776.66,935.96,519.5,1289.19,945.1,396.72,1316.96,2684.84,954.76,189.86,674.11,339.85,1384.94,943.84,16.2,1072.31,393.83,1411.11,936.2,936.5,190.6,643.42,94.07,1006.68,1390.59,1285.17,1378.44,1053.55,28.72,472.4,1582.67,639.62,1035.75,476.23,1408.98,409.79,1633.33,618.57,1441.15,1295.66,1293.68,628.96,797.2,191.78,1286.84,1375.21,1346.05,1459.66,654.9,1287.82,492.23,1289.83,1298.02,373.54,1470.8,937.21,1251.02,473.36,1046.98,522.4,50.45,448.17,619.9,806.45,941.5,1340.73,189.81,1418.1,485.94,864.33,1048.5,1933.42,665.71,732,1293.64,395.3,164.27,1444.54,818.71,1396.57,635.79,938.31,1003.88,1658.79,1118.24,1293.7,1380.93,387.91,610.98
"2023-12-01","14",654.86,17.2,383.99,583.01,1551.47,759.88,1523.31,1145.41,417.5,1468.68,1565.03,1065.61,958.64,889.61,657.48,556.58,21.26,524.44,15.36,968.85,1007.11,1359.67,654.01,-12.35,1388.32,587.35,1487,1369.56,1316.96,1575.08,574.94,766.69,950.02,447.7,1360.26,959.43,389.01,1399.77,2708.13,969.42,120.53,629.36,237.18,1470.52,957.94,3.07,1104.57,386.16,1513.21,945.56,950.29,121.25,589.68,52.63,1026.36,1480.01,1356.75,1464.84,1077.41,14.78,492.15,1663.31,587.16,1058.48,494.69,1489.47,318.76,1712.25,562.8,1526.32,1370.22,1364.34,575.12,781.91,122.03,1358.24,1461.47,1432.44,1551.97,594.29,1359.72,520.67,1363.47,1372.97,366.7,1564.97,950.91,1312.73,493.15,1071.81,534.53,27.62,443.06,567,790.3,947.77,1423.47,120.36,1502.01,505.44,859.9,1073.53,2002.44,618.87,721.32,1364.27,303.35,105.03,1535.95,807.5,1483.28,582.43,952.77,1024.31,1737.42,1145.6,1364.64,1467.3,296.97,557.55
"2023-12-01","15",792.06,42.02,535.46,708.33,2120.86,896.93,1819.95,1330.42,539.85,1897.38,1856.06,1236.06,1113.72,1039.6,791.94,679.01,40.79,684.9,18.01,1124.02,1168.99,1556.39,786.99,-16.78,1608.18,715.67,1765.01,1567.24,1512.48,1873.45,700.17,900.35,1103.79,552.78,1560.02,1114.65,541.49,1648.85,2872.01,1126.95,195.35,759.14,390.21,1761.49,1112.75,4.09,1278.57,538.14,1944.9,1102.41,1104.2,196.28,717.62,93.75,1190.54,1774.53,1552.9,1766.28,1250.34,17.33,646.8,1940.12,713.17,1227.74,650.53,1767.31,427.07,1984.9,684.56,1810.07,1565.48,1567.27,699.1,921.36,197.4,1554.88,1760.16,1720.03,1842.79,719.4,1556.51,674,1557.71,1567.85,515.58,1862.96,1105.43,1508.04,647.97,1242,688.27,47.78,604.88,690.65,931.56,1106.5,1675.98,195.22,1777.12,662.81,1010.14,1243.89,2271.17,747.56,848.57,1567.19,422.37,169.81,1823.69,949.07,1760.14,707.9,1104.41,1186.83,2010.57,1330.17,1566.38,1771.35,418.73,680.48
"2023-12-01","16",780.13,63.33,347.59,706.31,2132.1,878.24,1787.54,1297.08,548.63,1884.7,1803.92,1201.15,1085.41,1024.37,787.92,674.51,54.7,485.96,17.45,1094.76,1138.59,1505.43,783.27,-23.34,1560.08,716.96,1715.26,1516,1462.48,1834.24,697.78,880.76,1075.67,551.41,1509.35,1086.65,353.29,1608.36,2680.46,1098.47,252.95,755.57,410.97,1719.73,1084.58,4.01,1241.66,350.14,1933.92,1081.15,1076.24,253.95,715.16,125.65,1158.56,1735.58,1502.59,1726.98,1215.27,16.83,447.88,1874.43,711.11,1192.99,452.22,1724.57,433.68,1913.36,682.21,1756.52,1513.78,1517.18,697.01,899.82,255.43,1504.38,1720.61,1685.48,1800.66,721.48,1505.65,471.85,1506.38,1515.86,330.2,1812.25,1077.99,1459.05,449.02,1207.25,487.09,61.94,421.5,687.71,914.35,1085.22,1631.25,252.88,1725.49,464.25,994.65,1209.12,2176.02,744.42,832.17,1517,429.59,218.5,1781.5,928.45,1710.52,704.82,1075.62,1153.6,1937.34,1294.26,1515.9,1732.28,422.43,676.6
"2023-12-01","17",1345.36,48.41,806.76,1133.94,3313.75,1609.87,3427.04,2577.88,686.57,3169.23,3472.11,2376.98,2125.93,1915.93,1346.55,1065.09,45.49,1117.28,57.41,2144.87,2281.27,2978.81,1340.21,-49.54,3057.28,1153.62,3273.19,2998.9,2886.44,3506.22,1097.8,1502.9,2105.64,735.3,2981.63,2128.6,818.4,3061.45,3268.56,2154.07,315.21,1262.17,252.67,3211.74,2124.75,24.71,2486.17,811.99,3265.55,2124.59,2104.2,312.68,1129.78,146.19,2289.44,3326.21,2973.83,3196.88,2405.37,56.13,1038.55,3386.56,1144.75,2359.53,1043.9,3268.42,445.55,3422.02,1068.39,3358.89,2998.26,2993.58,1108.95,1665.62,309.54,2976.8,3189.45,3121.55,3434.28,1151.27,2979.02,1099.37,2984.77,3003.62,782.49,3447.05,2109.95,2883.66,1040.43,2396.37,1135.67,67.88,956.89,1090.45,1679.68,2111.71,3104.02,305.53,3271.59,1073.45,1877.49,2400.34,3599.01,1233.57,1389.43,2993.27,402.33,279.44,3397.1,1577.87,3262.9,1123.2,2106.54,2274.46,3447.29,2575.76,2993.15,3202.42,391.14,1069.02
"2023-12-01","18",1377.21,161.62,983.93,1197.76,2969.87,1513.32,3049.64,2235.52,871.64,2818.79,3093.27,2064.65,1877.13,1776.35,1376.74,1141.52,163.5,1231.53,119.68,1884.93,1960.73,2611.68,1370.53,88.53,2684.3,1215.44,2899.59,2633.17,2518.04,3113.83,1179.72,1515.12,1859.57,912.51,2612.22,1878.69,994.06,2710.87,2862.99,1902.63,361.41,1291.66,506.83,2841.72,1875.52,106.71,2135.79,988.39,2919.27,1866.67,1859.94,361.03,1196.64,236.64,1992.13,2969.06,2608.16,2827.8,2085.93,118.17,1162.98,2986.43,1207.14,2049.79,1169.16,2876.37,661.49,3019.09,1150.69,2974.01,2634.25,2620.18,1180.08,1551.2,359.62,2608.96,2820.56,2767.99,3045.56,1216.33,2611.62,1215.77,2620.77,2639.48,979.1,3059.62,1865.01,2516.33,1164.39,2078.22,1254.7,183.13,1104.42,1163.1,1622.46,1890.36,2740,356.96,2895.65,1193.39,1732.61,2081.79,3157.93,1272.95,1419.65,2620.39,629.77,338.61,3018.35,1575.23,2890.79,1189.96,1861.21,1984.42,3038.95,2235.15,2621.28,2833.37,615.81,1143.83
"2023-12-01","19",1533.01,544.03,1114.24,1271.02,2922.66,1647.52,3165.34,2549,891.21,2835.4,3233.17,2309.48,2081.81,2048.8,1530.47,1207.96,548.06,1401.66,569.26,2079.67,2248.98,2739.2,1521.17,464.76,2800.22,1299.3,2981.66,2754.53,2644.1,3247.72,1261.98,1757.14,2061.97,943.05,2742.41,2084.87,1126.46,2794.6,3005.21,2112.58,748.7,1391,580.65,2923.82,2081.56,548.25,2407.18,1119.62,2916.72,2110.52,2061.59,750.75,1275.5,610.75,2229.39,3072.55,2736.88,2899.91,2333.98,567.36,1318.57,3131.98,1283.73,2291.16,1327.32,2985.88,727.59,3160.5,1245.89,3074.88,2750.95,2751.08,1261.82,1693.81,751.87,2737.33,2892.72,2834.24,3166.25,1302.16,2738.77,1380.29,2740.69,2754.89,1115.95,3183.05,2070.47,2673.77,1320.6,2325.7,1431.94,575.49,1259.73,1234.32,1743.51,2113,2824.47,748.66,2975.49,1353.49,1955.52,2328.79,3357.65,1368.22,1642.06,2751.61,673.66,716.4,3134.13,1828.27,2971.52,1267.06,2062.61,2207.13,3189.29,2546.81,2752.41,2904.61,641.79,1211.22
"2023-12-01","20",1930.86,505,1482.15,1678.89,3529.84,2030.17,3699.55,2947.44,1372.42,3379.91,3777.71,2662.84,2434.67,2426.12,1926.76,1602.56,515.82,1808.47,565.44,2431.62,2535.84,3199.05,1915.92,451.56,3278.76,1703.85,3508.12,3221.69,3083.3,3801.87,1689.53,2159.39,2410.82,1414.97,3201.42,2436.11,1496.01,3290.94,3519.15,2465.87,712.7,1792.71,1015.79,3444.78,2432.11,539.22,2722.8,1488.51,3491.94,2427.19,2412.9,714.97,1672.5,566.3,2568.4,3610.7,3194.56,3419.69,2689.57,563.26,1708.97,3674.53,1692.79,2642.17,1719.3,3498.53,1176.18,3714.24,1659.28,3621.1,3219.91,3211.61,1672.73,2076.08,716.21,3195.24,3410.68,3347.86,3713.66,1700.24,3198.51,1775.74,3205.33,3225.55,1479.65,3730.44,2422.52,3109.69,1711.31,2673.81,1835.76,548.49,1639.87,1626.31,2134.19,2466.57,3324.83,712.62,3503.48,1748.05,2323.65,2677.96,3934.71,1772.59,2024.03,3212.06,1131.79,679.77,3678.22,2241.75,3496.64,1678.93,2414.82,2553.3,3746.75,2944.91,3212.8,3426.11,1106.41,1606.92
